Year,Abetment to Suicide of women,Acid Attack,Assault on Outrage Modesty of Women,Attempt to Acid Attack,Attempt to Commit Rape,Buying of Minor Girls,Cruelty by Husband or his relatives,Cyber Crimes/Information Technology Act,Dowry Deaths,Dowry Prohibition Act,Human Trafficking,Immoral Traffic (Prevention) Act,Indecent Representation of Women (Prohibition) Act,Insult to the Modesty of Women,Kidnapping & Abduction,POCSO,Protection of Women from Domestic Violence Act,Rape,Selling of Minor Girls
2011,,,42968,,3894,27,99135,48,8618,6619,,2435,453,8570,35565,7180,379,24206,113
2012,,,45351,,3764,15,106527,87,8233,9038,,2563,141,9173,38262,7411,441,24923,108
2013,,,70739,,4421,6,118866,144,8083,10709,,2579,362,12589,51881,13037,392,33707,100
2014,3734,,82235,,4234,14,122877,102,8455,10050,720,2070,47,9735,57311,8904,426,36735,82
2015,4060,,82422,,4437,11,113403,161,7634,9894,1021,2424,40,8685,59277,14913,461,34651,111
2016,4466,206,84746,,5729,7,110378,930,7621,9683,659,2214,38,7305,64519,36022,437,38947,122
2017,5282,148,86001,35,4154,4,104551,600,7466,10189,662,1536,25,7451,66333,31668,616,32782,80
2018,5037,131,89097,37,4097,8,103272,1244,7166,12826,854,1459,22,6992,72751,38802,579,33650,40
2019,5009,150,88367,42,3944,8,125298,1621,7115,13297,966,1185,23,6939,72780,46005,553,32316,22
2020,5044,105,85392,33,3741,1,111549,2334,6966,10366,646,868,12,7065,62300,46123,446,28265,12
